Недела;Ден;Датум;Час;Просторија;Студиска програма;Семестар;предмет;тип на настава;проф/асс;Групи
15;Wednesday;2026-04-08;10:00;09 лаб.;;;;Вежби;Aсс. м-р Теодора Тасевска;
15;Wednesday;2026-04-08;11:00;09 лаб.;;;;Вежби;Aсс. м-р Теодора Тасевска;
15;Wednesday;2026-04-08;12:00;09 лаб.;;;;Вежби;Aсс. м-р Теодора Тасевска;
15;Wednesday;2026-04-08;13:00;09 лаб.;;;;Вежби;Aсс. м-р Теодора Тасевска;
15;Wednesday;2026-04-08;14:00;09 лаб.;;;;Вежби;Aсс. м-р Теодора Тасевска;
15;Wednesday;2026-04-08;08:00;11 лаб.;Магистер;6;Фармацевтска хемија 2;Вежби;;
15;Wednesday;2026-04-08;09:00;11 лаб.;Магистер;6;Фармацевтска хемија 2;Вежби;;
15;Wednesday;2026-04-08;10:00;11 лаб.;Магистер;6;Фармацевтска хемија 2;Вежби;;
15;Wednesday;2026-04-08;14:00;11 лаб.;Магистер;6;Фармацевтска хемија 2;Вежби;;
15;Wednesday;2026-04-08;15:00;11 лаб.;Магистер;6;Фармацевтска хемија 2;Вежби;;
15;Wednesday;2026-04-08;16:00;11 лаб.;Магистер;6;Фармацевтска хемија 2;Вежби;;
15;Wednesday;2026-04-08;08:00;12 лаб.;Магистер;6;Фармацевтска хемија 2;Вежби;;
15;Wednesday;2026-04-08;09:00;12 лаб.;Магистер;6;Фармацевтска хемија 2;Вежби;;
15;Wednesday;2026-04-08;10:00;12 лаб.;Магистер;6;Фармацевтска хемија 2;Вежби;;
15;Wednesday;2026-04-08;14:00;12 лаб.;Магистер;6;Фармацевтска хемија 2;Вежби;;
15;Wednesday;2026-04-08;15:00;12 лаб.;Магистер;6;Фармацевтска хемија 2;Вежби;;
15;Wednesday;2026-04-08;16:00;12 лаб.;Магистер;6;Фармацевтска хемија 2;Вежби;;
15;Wednesday;2026-04-08;10:00;НФИЦ;;;;Интерен состанок;Проф. д-p Катерина Брезовска;
15;Wednesday;2026-04-08;11:00;НФИЦ;;;;Интерен состанок;Проф. д-p Катерина Брезовска;
15;Thursday;2026-04-09;11:00;01 пред.;Магистер;4;Анатомија и физологија;Колоквиум 1;;
15;Thursday;2026-04-09;12:00;01 пред.;Магистер;4;Анатомија и физологија;Колоквиум 1;;
15;Thursday;2026-04-09;15:00;01 пред.;Лабораториско;2;Пребарување и користење на извори на информации;Предавање;;
15;Thursday;2026-04-09;16:00;01 пред.;Лабораториско;2;Пребарување и користење на извори на информации;Предавање;;
15;Thursday;2026-04-09;09:00;02 пред.;Лабораториско;2;Аналитичка хемија;Предавање;;
15;Thursday;2026-04-09;10:00;02 пред.;Лабораториско;2;Аналитичка хемија;Предавање;;
15;Thursday;2026-04-09;11:00;02 пред.;Магистер;4;Анатомија и физологија;Колоквиум 1;;
15;Thursday;2026-04-09;12:00;02 пред.;Магистер;4;Анатомија и физологија;Колоквиум 1;;
15;Thursday;2026-04-09;08:00;03 пред.;Магистер;8;Клиничка биохемија;Предавање;Проф. д-р Марија Хиљадникова Бајро;
15;Thursday;2026-04-09;09:00;03 пред.;Магистер;8;Клиничка биохемија;Предавање;Проф. д-р Марија Хиљадникова Бајро;
15;Thursday;2026-04-09;10:00;03 пред.;Магистер;8;Клиничка биохемија;Предавање;Проф. д-р Марија Хиљадникова Бајро;
15;Thursday;2026-04-09;11:00;03 пред.;Лабораториско;2;Пребарување и користење на извори на информации;Предавање;;
15;Thursday;2026-04-09;12:00;03 пред.;Лабораториско;2;Пребарување и користење на извори на информации;Предавање;;
15;Thursday;2026-04-09;09:00;04 пред.;Диететика;4;Моделирање и оптимизирање во нутриционизам и диететика;Предавање;;
